-115.2537	44.5636	10	73.32	79.42	-170.41	3.6	-115.5	44.93
-115.221	44.5541	13.5	69.06	65.84	179.57	3.6	-114.6	44.87
-115.1771	44.5019	10	150.71	70.95	-16.76	3.7	-115.5	44.81
-115.2227	44.4995	10	76.39	87.45	173.25	3.7	-114.6	44.75
-115.1508	44.4944	10	138.64	57.68	-50.26	3.9	-115.5	44.69
-115.1849	44.4179	10	171.49	64.68	-40.88	4.1	-114.6	44.63
-115.1291	44.4085	10	161.31	72.34	-45.46	3.8	-115.5	44.57
-115.17	44.4	13	150	60	-65	3.5	-114.6	44.51
-115.1562	44.395	10.3	132.41	42.23	-27.54	3.5	-115.5	44.45
-115.18	44.39	11	211	71	126	3.3	-114.6	44.39
-115.1973	44.3724	15	119.36	20.78	-81.35	3.9	-115.5	44.33
-115.25	44.37	17	155	75	-30	3.9	-114.6	44.27
-115.16	44.37	17	145	55	-45	3.5	-115.5	44.21
-115.1966	44.3532	9.2	36.13	86.94	-178.76	3.8	-114.6	44.15
-115.1454	44.3515	10	8.94	89.52	-41.47	3.6	-115.5	44.09
-115.167	44.3437	6.5	179.13	83.41	-30.2	4.4	-114.6	44.03
-115.24	44.33	3	125	41	-102	3.5	-115.5	43.97
-115.28	44.32	13	242	73	132	3.6	-114.6	43.91
-115.15	44.31	6	74	55	174	3.3	-115.5	43.85
-115.12	44.31	12	140	75	-20	4	-114.6	43.79
-115.1221	44.2387	10	148.43	29.45	-60.85	3.6	-115.5	43.73
-115.0917	44.1286	10	235.72	62.11	172.04	3.7	-114.6	43.67
